Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto. 2 = Consistido
MediaDiaria: 0 = Não. 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga. 2 = Transferência de vazões. 3 = Soma de vazões. 4 = ADCP
Status: 0 = Branco. 1 = Real. 2 = Estimado. 3 = Duvidoso. 4 = Régua Seca

Restrições da consulta:
Código da Estação:87905000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87905000;1;01/06/2017;;1;1;1207.608;149.629;472.232;11;29;2;2;2;0;0;805.678;685.26;573.426;497.837;431.751;378.573;499.464;723.841;919.182;1098.768;1207.608;1121.756;752.209;554.495;453.298;394.48;358.764;316.654;280.71;258.66;244.423;223.765;210.461;191.212;181.908;173.816;165.895;158.144;149.629;155.282;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/05/2017;;1;1;2219.029;68.588;724.779;28;11;3;3;3;0;0;84.338;80.787;77.997;75.252;75.252;73.896;72.552;73.896;72.552;69.898;68.588;69.242;228.283;1093.684;1560.252;1488.1;1451.104;945.449;502.723;380.006;434.799;530.825;628.93;542.6;721.677;1711.487;2124.167;2219.029;2042.774;1846.258;1121.756;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;
87905000;1;01/04/2017;;1;1;517.513;85.778;145.186;14;10;1;1;1;0;0;109.527;105.516;101.575;96.936;92.398;90.907;89.428;88.692;87.23;85.778;92.398;100.795;340.81;517.513;437.858;290.776;187.05;133.253;121.971;111.966;113.606;138.614;132.368;118.592;105.516;101.575;93.899;90.907;89.428;88.692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/03/2017;;1;1;1959.432;74.573;468.549;14;4;2;2;2;0;0;112.785;93.147;85.057;74.573;93.147;135.921;118.592;121.122;117.754;196.474;594.411;1266.189;1893.098;1959.432;1639.646;1456.772;897.903;653.736;530.825;418.155;331.319;267.136;231.699;205.029;188.087;171.82;155.282;139.517;133.253;124.534;118.592;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
87905000;1;01/02/2017;;1;1;210.461;58.521;106.717;25;11;1;1;1;0;0;64.727;62.21;59.129;62.835;65.363;66.003;64.727;62.21;60.969;59.739;58.521;69.242;69.898;75.934;140.423;119.433;135.921;138.614;156.233;203.951;144.073;116.087;114.43;144.073;210.461;179.869;151.503;131.487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
87905000;1;01/01/2017;;1;1;317.975;67.938;145.417;13;31;1;1;1;0;0;135.029;148.696;113.606;102.357;100.017;121.122;120.276;115.257;102.357;102.357;161.031;229.419;317.975;239.76;169.834;138.614;162.968;275.738;289.509;221.522;177.841;135.921;107.914;99.243;95.412;96.936;102.357;99.243;85.778;71.884;67.938;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/12/2016;;1;1;159.104;38.594;74.491;29;25;1;1;1;0;0;105.516;91.651;85.778;107.914;135.921;122.822;96.173;76.619;72.552;69.242;65.363;60.353;57.917;56.12;52.029;48.082;43.218;42.169;41.65;41.65;41.133;41.133;40.619;40.108;38.594;39.601;72.552;136.816;159.104;123.677;103.143;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/11/2016;;1;1;1038.367;104.722;301.91;3;26;2;2;2;0;0;171.82;314.021;1038.367;976.858;881.487;633.038;447.092;299.718;256.261;270.807;307.481;288.244;252.683;221.522;192.259;169.834;198.597;251.495;301.005;245.595;189.126;160.066;151.503;141.332;111.966;104.722;109.527;116.087;139.517;115.257;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;0;
87905000;1;01/10/2016;;1;1;1375.419;60.353;338.697;21;13;1;1;1;0;0;93.899;89.428;85.057;78.69;73.896;76.619;75.252;72.552;71.884;70.558;65.363;62.21;60.353;61.588;62.21;67.29;157.187;1020.998;1231.443;1317.639;1375.419;993.935;758.815;530.825;374.287;315.336;298.433;292.046;252.683;220.404;193.309;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/09/2016;;1;1;1088.61;99.243;441.029;2;30;2;2;2;0;0;938.257;1088.61;967.152;662.086;568.234;700.167;805.678;756.611;653.736;569.962;473.738;381.442;465.827;554.495;563.064;478.514;404.759;329.973;267.136;222.642;195.416;172.817;161.998;148.696;135.029;125.393;119.433;115.257;105.516;99.243;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;0;
87905000;1;01/08/2016;;1;1;639.221;86.503;172.326;31;27;1;1;1;0;0;170.826;149.629;135.921;122.822;117.754;114.43;152.443;302.295;349.044;320.623;262.277;199.663;167.859;150.564;139.517;130.608;126.256;122.822;124.534;127.121;140.423;128.859;119.433;107.112;91.651;88.692;86.503;86.503;94.654;272.036;639.221;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/07/2016;;1;1;1191.817;96.936;305.141;15;6;2;2;2;0;0;167.859;151.503;129.732;105.516;101.575;96.936;116.919;161.031;195.416;221.522;184.985;268.358;756.611;1020.998;1191.817;964.731;476.919;353.195;314.021;247.947;207.194;187.05;165.895;154.333;140.423;142.243;207.194;289.509;295.87;245.595;196.474;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/06/2016;;1;1;214.854;73.223;108.16;30;22;1;1;1;0;0;169.834;161.031;151.503;145.914;140.423;135.029;128.859;121.971;115.257;109.527;104.722;100.017;96.936;93.899;87.96;87.23;85.778;82.199;78.69;75.252;74.573;73.223;73.223;74.573;73.223;73.896;76.619;95.412;143.157;214.854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/05/2016;;1;1;739.064;154.333;304.275;1;30;1;1;1;0;0;739.064;505.993;419.656;358.764;315.336;285.723;250.31;232.843;217.066;197.534;189.126;184.985;175.823;171.82;176.831;451.743;685.26;653.736;551.084;404.759;321.951;284.466;242.086;220.404;200.731;186.017;175.823;161.998;159.104;154.333;158.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87905000;1;01/04/2016;;1;1;2408.722;135.029;590.898;27;6;3;3;3;0;0;263.488;205.029;186.017;156.233;143.157;135.029;141.332;152.443;211.556;456.415;457.978;462.68;421.159;372.863;340.81;292.046;245.595;226.019;183.957;175.823;226.019;294.593;361.564;510.915;974.428;2183.526;2408.722;2134.016;2016.987;1386.533;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;0;
87905000;1;01/03/2016;;1;1;1119.193;55.527;186.641;27;2;1;1;1;0;0;62.835;55.527;88.692;163.941;134.139;108.719;87.23;70.558;66.003;69.242;93.147;111.15;88.692;75.252;67.938;62.835;59.739;56.12;56.12;60.969;75.934;118.592;126.256;111.966;96.173;163.941;1119.193;959.896;608.595;437.858;328.63;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
87905000;1;01/02/2016;;1;1;151.503;61.588;93.085;15;25;1;1;1;0;0;112.785;105.516;101.575;98.471;148.696;125.393;102.357;90.907;90.166;106.313;114.43;100.795;90.166;97.702;151.503;107.112;93.147;86.503;90.907;87.96;75.252;67.938;64.727;62.21;61.588;63.463;66.003;68.588;67.29;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
